country,location_name,latitude,longitude,condition_text,precip_mm
Russia,Moscow,55.75,37.62,Partly cloudy,0
Rwanda,Kigali,-1.95,30.06,Partly cloudy,0
Saint Kitts and Nevis,Basseterre,17.3,-62.72,Clear,0
Saint Lucia,Castries,14,-61,Partly cloudy,0.4
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,Patchy rain possible,0.9
Samoa,Apia,-13.83,-171.73,Partly cloudy,0.6
San Marino,San Marino,43.93,12.45,Partly cloudy,0
Belgium,'S-Gravenwezel,51.27,4.55,Partly cloudy,0
Saudi Arabia,Riyadh,24.64,46.77,Sunny,0
Senegal,Dakar,14.67,-17.44,Partly cloudy,3.6
Serbia,Belgrade,44.8,20.47,Partly cloudy,0.1
Seychelles Islands,Victoria,-4.62,55.45,Light rain shower,0.5
Sierra Leone,Freetown,8.49,-13.23,Partly cloudy,1.5
Singapore,Singapore,1.29,103.86,Partly cloudy,0.4
Slovakia,Bratislava,48.15,17.12,Light rain shower,0
Slovenia,Ljubljana,46.06,14.51,Light rain shower,0.8
Solomon Islands,Honiara,-9.43,159.95,Partly cloudy,0.1
Somalia,Mogadishu,2.07,45.37,Partly cloudy,0
South Africa,Pretoria,-25.75,28.19,Sunny,0
South Korea,Seoul,37.57,127,Light rain,0
Sudan,Juba,12.15,24.45,Sunny,0
Spain,Madrid,40.4,-3.68,Sunny,0
Sri Lanka,Colombo,6.93,79.85,Partly cloudy,0.1
Sudan,Khartoum,15.59,32.53,Partly cloudy,0
Suriname,Paramaribo,5.83,-55.17,Partly cloudy,0
Sweden,Stockholm,59.33,18.05,Sunny,0
Switzerland,Bern,46.92,7.47,Partly cloudy,0
Syria,Damascus,33.5,36.3,Partly cloudy,0
Tajikistan,Dushanbe,38.56,68.77,Sunny,0
Tanzania,Dodoma,-6.18,35.75,Partly cloudy,0
Thailand,Bangkok,13.75,100.52,Partly cloudy,0.1
Indonesia,Murong Timor,-7.56,112.27,Sunny,0
Bulgaria,Lom,43.81,23.24,Sunny,0
Tonga,Nuku`Aloia,-21.13,-175.2,Partly cloudy,0.1
Trinidad and Tobago,Port Of Spain,10.65,-61.52,Partly cloudy,0.1
Tunisia,Tunis,36.8,10.18,Partly cloudy,0
Turkey,Ankara,39.93,32.86,Sunny,0
Turkmenistan,Ashgabat,37.95,58.38,Partly cloudy,0
Tuvalu,Funafuti,-8.52,179.22,Partly cloudy,0.3
Uganda,Kampala,0.32,32.57,Partly cloudy,1.5
Ukraine,Lviv,49.83,24,Sunny,0
United Arab Emirates,Abu Dhabi,24.47,54.37,Sunny,0
United Kingdom,London,51.52,-0.11,Sunny,0
United States of America,Washington Park,46.6,-120.49,Clear,0
Uruguay,Montevideo,-34.86,-56.17,Clear,0
Uzbekistan,Tashkent,41.32,69.25,Sunny,0
Vanuatu,Port Vila,-17.73,168.32,Overcast,2.6
Venezuela,Caracas,10.5,-66.92,Partly cloudy,0.5
Vietnam,Hanoi,21.03,105.85,Sunny,0
Yemen,Sanaa,15.35,44.21,Patchy light rain with thunder,0.2
Zambia,Lusaka,-15.42,28.28,Sunny,0
Zimbabwe,Harare,-17.82,31.04,Sunny,0
Afghanistan,Kabul,34.52,69.18,Sunny,0
Albania,Tirana,41.33,19.82,Partly cloudy,0
Algeria,Algiers,36.76,3.05,Partly cloudy,0
Andorra,Andorra La Vella,42.5,1.52,Partly cloudy,0
Angola,Luanda,-8.84,13.23,Partly cloudy,0
Antigua and Barbuda,Saint John's,17.12,-61.85,Partly cloudy,0
Argentina,Buenos Aires,-34.59,-58.67,Clear,0
Armenia,Yerevan,40.18,44.51,Sunny,0
Australia,Canberra,-35.28,149.22,Partly cloudy,0
Austria,Vienna,48.2,16.37,Light rain,0
Azerbaijan,Baku,40.4,49.88,Sunny,0
Bahamas,Nassau,25.08,-77.35,Moderate or heavy rain with thunder,0
Bahrain,Manama,26.24,50.58,Sunny,0
Bangladesh,Dhaka,23.72,90.41,Sunny,0
Barbados,Bridgetown,13.1,-59.62,Partly cloudy,0.3
Belarus,Minsk,53.9,27.57,Clear,0
Belgium,Brussels,50.83,4.33,Partly cloudy,0
Belize,Belmopan,17.25,-88.77,Patchy rain possible,0.1
Benin,Porto-Novo,6.48,2.62,Partly cloudy,0.1
Bhutan,Thimphu,27.48,89.6,Sunny,0
Bolivia,Sucre,-19.04,-65.26,Clear,0
Bosnia and Herzegovina,Sarajevo,43.85,18.38,Partly cloudy,3.5
Botswana,Gaborone,-24.65,25.91,Clear,0
Brazil,Bras,-2.08,-58.17,Clear,0
