cloud,visibility_km,visibility_miles,air_quality
50,10,6,23.9
0,10,6,26.8
50,10,6,15.7
25,10,6,14
0,8,4,20.5
60,0.1,0,1.7
50,10,6,10.7
76,10,6,0.9
0,10,6,22.9
3,10,6,9.5
32,10,6,17.6
50,10,6,1.1
75,10,6,18.5
10,10,6,35.7
75,10,6,1.9
75,10,6,12.8
0,10,6,10
0,10,6,2.8
0,10,6,2.9
25,10,6,6.6
8,10,6,20.4
25,7,4,213.3
62,10,6,1.6
25,10,6,3.8
25,10,6,57.4
100,24,14,0.5
15,10,6,2.5
50,10,6,4.8
100,9.7,6,144.9
100,21,13,0.5
55,10,6,1
75,10,6,12.5
50,10,6,1.5
0,10,6,6.2
75,5,3,3.1
0,10,6,5.7
60,10,6,15.4
0,10,6,35
0,10,6,16.5
50,7,4,75.2
50,5,3,4.6
0,10,6,1.6
50,10,6,2.5
0,10,6,9.5
75,10,6,10.6
10,10,6,17.6
0,10,6,15.9
100,10,6,4.9
0,8,4,38.2
24,10,6,78.5
100,21,13,2.2
79,9,5,4.3
50,10,6,2.8
25,10,6,2
14,10,6,9.7
34,10,6,9.1
100,9,5,4
0,10,6,10
25,10,6,2
0,10,6,37.5
0,10,6,9.5
0,10,6,13.7
75,10,6,38.6
25,10,6,2
75,10,6,1.8
54,10,6,1.7
75,10,6,3.2
0,10,6,7.4
100,8,4,5.5
0,10,6,20.8
75,10,6,1.7
0,10,6,19.9
50,10,6,5.2
75,10,6,3.7
75,9,5,16
0,10,6,6.4
0,10,6,15.4
29,10,6,0.6
34,10,6,7.2
0,10,6,23.3
0,10,6,92.9
17,10,6,1.7
0,10,6,3.4
75,10,6,1.4
8,10,6,31.7
25,10,6,2.5
60,0.2,0,0.9
0,10,6,15.1
0,10,6,14.1
0,7,4,8.6
5,10,6,2.6
75,10,6,15.9
51,10,6,18.2
6,10,6,8.6
25,10,6,2.6
25,10,6,0.7
0,10,6,6.4
0,10,6,11.7
0,10,6,20.4
10,10,6,38.3
40,10,6,5.9
25,10,6,43.8
50,10,6,8.1
50,16,9,18.3
0,10,6,22.9
0,10,6,8.2
55,10,6,9
0,9,5,6
0,5,3,148.5
8,10,6,38.1
0,10,6,11.7
0,10,6,41
0,10,6,12.2
0,10,6,14.8
75,10,6,12.3
76,10,6,0.6
75,10,6,8.3
25,10,6,6.2
0,10,6,5.5
0,10,6,2.8
0,10,6,1.1
0,10,6,19
50,10,6,7
75,10,6,5.7
0,10,6,34.6
72,9,5,45.8
50,10,6,5.9
0,6,3,5.8
0,6,3,21.2
50,10,6,1
75,10,6,4.6
72,9,5,9.2
0,10,6,2.2
0,10,6,9.8
0,10,6,6.7
10,10,6,6.2
75,9,5,0.6
75,10,6,10.2
25,8,4,53.2
13,10,6,42.1
0,10,6,0.8
0,10,6,2.1
75,9,5,3.2
70,10,6,7.8
50,24,14,8.9
75,10,6,16.7
0,10,6,27
75,10,6,98
0,8,4,206.8
10,10,6,11.1
8,10,6,2.2
0,8,4,6.4
100,10,6,7.3
0,10,6,31.2
75,9,5,7.1
25,10,6,15.7
75,10,6,20.3
0,8,4,6.4
75,10,6,1.8
10,10,6,24.3
25,10,6,5.1
50,10,6,9.8
83,7,4,42.4
0,6,3,12
25,10,6,12.8
51,7,4,2.6
5,10,6,26.5
25,10,6,5
0,10,6,18
10,10,6,74.1
50,10,6,3
0,10,6,5
0,10,6,7.3
50,10,6,7.7
50,10,6,3.9
100,10,6,2.4
0,10,6,9.4
75,10,6,12.1
0,10,6,19.9
25,10,6,2.1
50,10,6,6.9
25,10,6,1.4
50,9,5,1.9
25,10,6,3.2
75,9,5,39.8
0,10,6,14.8
50,10,6,1
0,10,6,13.9
83,9,5,4.8
0,3.5,2,13.4
50,7,4,320.6
50,10,6,37.1
0,10,6,25.1
25,10,6,3.4
