latitude,longitude,temperature_fahrenheit,wind_mph
-8.84,13.23,69.8,2.2
17.12,-61.85,84.2,8.1
-34.59,-58.67,53.6,8.1
40.18,44.51,75.2,5.6
-35.28,149.22,51.8,15.0
48.2,16.37,60.8,4.3
40.4,49.88,73.4,4.3
25.08,-77.35,87.8,6.9
26.24,50.58,93.2,12.5
23.72,90.41,82.8,6.9
13.1,-59.62,82.4,12.5
53.9,27.57,55.4,4.3
50.83,4.33,57.2,4.3
17.25,-88.77,86.0,3.8
6.48,2.62,78.8,5.6
27.48,89.6,54.1,2.2
-19.04,-65.26,51.4,2.2
43.85,18.38,60.8,3.8
-24.65,25.91,53.6,5.6
-2.08,-58.17,90.7,2.5
4.88,114.93,82.4,4.3
42.68,23.32,55.4,2.2
12.37,-1.52,81.1,6.7
-3.38,29.36,67.5,2.2
-24.37,46.45,65.7,6.5
14.93,-23.51,82.4,13.6
11.55,104.92,80.6,2.5
5.47,10.42,65.3,3.1
45.42,-75.7,68.0,5.6
4.37,18.58,69.6,2.5
12.11,15.05,82.4,3.8
-33.45,-70.67,60.8,2.2
39.93,116.39,69.8,4.3
43.32,24.7,65.1,8.3
-11.7,43.24,75.2,4.3
-4.26,15.28,79.2,6.5
9.97,-84.08,73.4,4.3
45.8,16.0,57.2,2.2
23.13,-82.36,87.8,4.3
35.17,33.37,75.2,10.5
50.08,14.47,53.6,9.4
-4.3,15.3,78.6,6.3
55.67,12.58,55.4,4.3
11.6,43.15,95.0,3.8
15.3,-61.4,84.2,8.1
18.47,-69.9,84.2,6.9
-0.22,-78.5,57.7,2.2
30.05,31.25,78.8,6.9
13.71,-89.2,89.6,5.6
3.75,8.78,77.0,5.1
15.33,38.93,62.4,2.9
59.43,24.73,57.2,4.3
-26.32,31.13,56.8,6.0
9.03,38.7,53.2,2.2
-18.13,178.42,82.4,12.5
60.18,24.93,60.8,4.3
48.87,2.33,64.4,5.6
0.38,9.45,76.3,6.0
13.45,-16.58,78.8,2.2
41.73,44.79,73.4,2.2
52.52,13.4,53.6,10.5
5.55,-0.22,78.8,10.5
37.98,23.72,78.8,5.6
12.05,-61.75,84.2,12.5
14.62,-90.53,69.8,2.2
9.51,-13.71,82.4,11.9
11.85,-15.58,78.8,2.2
6.8,-58.17,77.0,2.2
18.54,-72.34,91.4,18.6
41.9,12.45,68.0,4.3
14.1,-87.22,80.6,4.3
47.5,19.08,55.4,5.6
63.83,-20.4,51.4,11.9
28.6,77.2,84.2,4.3
-6.21,106.85,75.2,3.8
35.73,51.33,77.0,4.3
33.34,44.39,87.8,3.8
53.33,-6.25,59.0,2.2
31.78,35.23,78.8,4.3
41.9,12.48,68.0,4.3
17.97,-76.75,87.8,24.2
35.69,139.69,84.2,5.6
31.95,35.93,78.8,2.5
51.18,71.43,50.0,13.6
-1.28,36.82,62.6,5.6
-0.88,169.53,84.0,12.8
29.37,47.96,94.3,11.2
42.87,74.6,54.7,2.7
-8.18,114.32,63.9,2.7
56.95,24.1,60.8,6.9
33.87,35.51,82.4,3.8
-29.32,27.48,54.1,5.1
6.31,-10.8,77.0,2.2
18.78,100.78,75.2,2.2
47.13,9.52,60.8,2.2
54.68,25.32,55.4,8.1
49.61,6.13,55.4,5.6
-18.92,47.52,53.6,8.1
-13.98,33.78,64.6,2.9
3.17,101.7,77.0,2.2
6.15,73.27,82.4,18.8
12.65,-8.0,77.0,2.5
35.9,14.51,73.4,5.6
7.1,171.38,80.6,6.9
18.09,-15.98,82.4,13.2
